title,year,month,url,keyword
Taliban Attacks in Northern Afghanistan Kill 27 Security Officers,2019,01,https://www.nytimes.com/2019/01/01/world/asia/afghanistan-attacks-taliban.html,"Afghanistan War (2001- ), Taliban, Attacks on Police, AFGHANISTAN, International Relations, United States International Relations, Sar-i-Pul Province (Afghanistan)"
"American Accused of Spying in Russia Is Marine Veteran Who Visited Moscow for Wedding, Family Says",2019,01,https://www.nytimes.com/2019/01/01/world/europe/us-russia-spying-paul-whelan.html,"Whelan, Paul N, United States International Relations, Russia, Espionage and Intelligence Services, Politics and Government, Federal Security Service"
"In Stories From an Argentine Surrealist, Circles of Madness and Violence",2019,01,https://www.nytimes.com/2019/01/01/books/review-mouthful-of-birds-samanta-schweblin.html,"Schweblin, Samanta, McDowell, Megan, Books and Literature, Mouthful of Birds (Book)"
Will 2019 Be a Good Year for Investors? Here Are 4 Key Factors Affecting Stocks and the Economy,2019,01,https://www.nytimes.com/interactive/2019/01/01/business/dealbook/stock-markets-2019.html,"Stocks and Bonds, Standard & Poor's 500-Stock Index, United States Economy, Interest Rates, Trump, Donald J, Federal Reserve System"
"�The People Making It Are Indigenous, but Indigenous Is Not a Genre�",2019,01,https://www.nytimes.com/2019/01/01/arts/dance/02firstnations.html,"Theater, Native Americans, Indigenous People, Indigenous Australians, Dancing, Lenape Center Ltd, Performance Space New York (Manhattan, NY), Spiderwoman Theater, Danspace Project, Johnson, Emily (1976- ), Miguel, Muriel, Gantner, Vallejo"
"After an Attack by Zealots, an Indian Family Seeks Asylum",2019,01,https://www.nytimes.com/2019/01/01/neediest-cases/indian-family-asylum.html,"New York Times Neediest Cases Fund, Catholic Charities"
�New Year Miracle� in Russia: Baby Is Pulled From Rubble,2019,01,https://www.nytimes.com/2019/01/01/world/europe/russia-baby-rescue.html,"Rescues, Explosions (Accidental), MAGNITOGORSK (RUSSIA)"
A 6-Pack of Beer for $26? Qatar Doubles the Price of Alcohol,2019,01,https://www.nytimes.com/2019/01/01/world/middleeast/qatar-tax-alcohol.html,"Qatar, ALCOHOLIC BEVERAGES, Sales and Excise Taxes, World Cup 2022 (Soccer)"
Why the West Coast Is Suddenly Beating the East Coast on Transportation,2019,01,https://www.nytimes.com/2019/01/01/nyregion/transportation-east-coast-vs-west-coast.html,"Transit Systems, Referendums, Infrastructure (Public Works), American Public Transportation Assn, Trottenberg, Polly, Garcetti, Eric M, New York City, Los Angeles (Calif), Seattle (Wash)"
The Trump Tax Cut: Even Worse Than You�ve Heard,2019,01,https://www.nytimes.com/2019/01/01/opinion/the-trump-tax-cut-even-worse-than-youve-heard.html,"Corporate Taxes, Corporations, Federal Taxes (US)"
"German Man Is Suspected of Attacking Foreigners, Using Car as Weapon",2019,01,https://www.nytimes.com/2019/01/01/world/europe/germany-foreigners-attack.html,"Germany, Fringe Groups and Movements, New Year, Terrorism, Immigration and Emigration, Traffic Accidents and Safety, Alternative for Germany, Bottrop (Germany), Essen (Germany)"
2 Fishermen Die After Boat Capsizes on Westchester Reservoir,2019,01,https://www.nytimes.com/2019/01/01/nyregion/fisherman-dead-westchester-boat.html,"Maritime Accidents and Safety, Golden's Bridge (NY)"
Roger Federer Struggles With Serena Williams�s Serve. And Vice Versa.,2019,01,https://www.nytimes.com/2019/01/01/sports/serena-williams-roger-federer.html,"Tennis, Hopman Cup (Tennis), Federer, Roger, Williams, Serena"
"As China Talks Begin, Trump�s Trade Negotiator Tries to Keep President From Wavering",2019,01,https://www.nytimes.com/2019/01/01/us/politics/robert-lighthizer-president-trump.html,"International Trade and World Market, Customs (Tariff), China, United States International Relations, Brown, Sherrod, Lighthizer, Robert E, Mnuchin, Steven T, Navarro, Peter, Trump, Donald J, Xi Jinping, United States Politics and Government"
"Log Cabins? No, These Wooden Buildings Are High-Rises",2019,01,https://www.nytimes.com/2019/01/01/business/timber-wood-construction-real-estate.html,"Wood and Wood Products, Building (Construction), Real Estate (Commercial), Real Estate and Housing (Residential), T3"
Curbs on A.I. Exports? Silicon Valley Fears Losing Its Edge,2019,01,https://www.nytimes.com/2019/01/01/technology/artificial-intelligence-export-restrictions.html,"International Trade and World Market, Artificial Intelligence, Commerce Department, Embargoes and Sanctions, Research, Cloud Computing, China"
Who Will Be Nominated for Best Director?,2019,01,https://www.nytimes.com/2019/01/01/movies/best-director-oscars.html,"Movies, Burnham, Bo (1990- ), Chazelle, Damien, Coogler, Ryan, Cooper, Bradley, Cuaron, Alfonso, Farrelly, Peter, Granik, Debra, Heller, Marielle, Jenkins, Barry, Lanthimos, Yorgos, Lee, Spike, McKay, Adam, Schrader, Paul, A Star Is Born (Movie), BlacKkKlansman (Movie), Can You Ever Forgive Me? (Movie), Eighth Grade (Movie), First Man (Movie), First Reformed (Movie), Green Book (Movie), If Beale Street Could Talk (Movie), Leave No Trace (Movie), Roma (Movie), The Favourite (Movie), Vice (Movie)"
Hunger Games: Three Memoirs Where Food Takes Center Stage,2019,01,https://www.nytimes.com/2019/01/01/books/review/bread-knife-dawn-drzal.html,"Books and Literature, Crave (Book), Kitchen Yarns: Notes on Life, Love, and Food (Book), The Bread and the Knife: A Life in 26 Bites (Book), Hood, Ann, Drzal, Dawn Ann, O'Brien, Christine S, Food"
"Norman Gimbel, 91, Grammy and Oscar-Winning Lyricist, Is Dead",2019,01,https://www.nytimes.com/2019/01/01/obituaries/norman-gimbel-dies-at-91.html,"GIMBEL, NORMAN, Pop and Rock Music, Deaths (Obituaries)"
How Biden Has Paved the Way for a Possible Presidential Run,2019,01,https://www.nytimes.com/2019/01/01/us/politics/joe-biden-presidential-campaign-2020.html,"Biden, Joseph R Jr, Presidential Election of 2020, Campaign Finance, United States Politics and Government, Appointments and Executive Changes, American Possibilities, Biden Foundation"
Tiny Love Stories: �Don�t Message Me if You Can�t Handle a Real Woman�,2019,01,https://www.nytimes.com/2019/01/01/style/tiny-modern-love-stories.html,"Love (Emotion), Modern Love (Times Column), Dating and Relationships"
"Aldo Parisot, Eminent Cello Teacher and Yale Fixture, Dies at 100",2019,01,https://www.nytimes.com/2019/01/01/arts/aldo-parisot-dead.html,"Parisot, Aldo, Classical Music, Cellos, Yale School of Music, Deaths (Obituaries)"
Review: Met Opera�s �Adriana Lecouvreur� Bristles With Passion and Danger,2019,01,https://www.nytimes.com/2019/01/01/arts/music/review-adriana-lecouvreur-metropolitan-opera.html,"Opera, Metropolitan Opera, Cilea, Francesco, Adriana Lecouvreur (Opera), Netrebko, Anna, McVicar, David, Beczala, Piotr (1966- ), Noseda, Gianandrea, Rachvelishvili, Anita, Maestri, Ambrogio"
"Traffic Deaths in New York City Drop to 200, a Record Low",2019,01,https://www.nytimes.com/2019/01/01/nyregion/traffic-deaths-decrease-nyc.html,"Traffic Accidents and Safety, Deaths (Fatalities), Bicycles and Bicycling, de Blasio, Bill, New York City"
"Shutdown Leaves Food, Medicine and Pay in Doubt in Indian Country",2019,01,https://www.nytimes.com/2019/01/01/us/native-american-government-shutdown.html,"Native Americans, Shutdowns (Institutional), United States Politics and Government, Federal Aid (US), Bureau of Indian Affairs, Government Employees"
"The Script Secrets of Gillian Flynn, John Krasinski, Barry Jenkins and Christopher McQuarrie",2019,01,https://www.nytimes.com/2019/01/01/movies/gillian-flynn-john-krasinski-barry-jenkins-christopher-mcquarrie.html,"Movies, Flynn, Gillian, Krasinski, John, McQuarrie, Christopher, A Quiet Place (Movie), Widows (Movie), Mission: Impossible - Fallout (Movie), Jenkins, Barry, If Beale Street Could Talk (Movie)"
Netflix Blocks Show in Saudi Arabia Critical of Saudi Prince,2019,01,https://www.nytimes.com/2019/01/01/business/media/netflix-hasan-minhaj-saudi-arabia.html,"Censorship, Minhaj, Hasan (1985- ), Patriot Act (TV Program), Netflix Inc, Mohammed bin Salman (1985- ), Saudi Arabia, Television"
Insider Trading Remains a Fixture for Securities Enforcement,2019,01,https://www.nytimes.com/2019/01/01/business/dealbook/insider-trading-enforcement-prosecution.html,"Securities and Commodities Violations, Insider Trading, Ying, Jun, Walters, William T, Justice Department, Securities and Exchange Commission"
The Best Movies and TV Shows New to Netflix Australia in January,2019,01,https://www.nytimes.com/2019/01/01/watching/australia-netflix-january-new-tv-movies.html,"Television, Movies, Netflix Inc, Australia"
"Judith Rich Harris, 80, Dies; Author Played Down the Role of Parents",2019,01,https://www.nytimes.com/2019/01/01/obituaries/judith-rich-harris-dies.html,"Deaths (Obituaries), Genetics and Heredity, Harris, Judith Rich, Psychology and Psychologists, Parenting, Books and Literature"
